word1,op1,word2,op2,word3,skipgram_ns_word,skipgram_hs_word,cbow_ns_word,cbow_hs_word
sidi,,tear,,oxendine,nucleolus,nucleolus,967,garrett
gaba,,rapidity,,newsreels,automate,automate,～,haze
kotche,,retraced,,pileggi,solder,solder,stimulated,collars
determined,,confidence,,stout,determine,determine,whorls,xiu
frenetic,,antioch,,ijn,vivant,vivant,442,dimensional
avoided,,glut,,canisters,instituted,instituted,tavares,starch
banca,,palms,,duress,prestwich,prestwich,panzer,outhouses
inventors,,brilliantly,,phish,excellently,excellently,melissa,tirpitz
pandey,,71,,papery,32,32,1165,submitted
drury,,implacably,,signatories,'donovan,'donovan,quayside,guinness
understandable,,kancelled,,hoot,unbelievable,unbelievable,ashbee,meridian
ass,,téa,,931,soulful,soulful,forewings,entrained
twisted,,greenlit,,espionage,hammock,hammock,fifteen,spiritualist
compels,,eaa,,antónio,uspto,uspto,cloudiness,bloodied
malloy,,carapace,,davisville,assertion,assertion,beaked,rebellious
markets,,infective,,lourdes,industries,industries,authorized,2003
lautner,,flyer,,tangible,catering,catering,alga,ishikawa
malfunctioning,,theo,,østfold,potts,potts,branksome,swanton
tartar,,enabled,,cawston,hoping,hoping,overwhelm,candidates
synoptic,,peeled,,vamp,heaters,heaters,gregorio,waffen
valerie,,tur,,regular,nanette,nanette,johansson,mat
tremayne,,mcelroy,,gabrielle,hanks,hanks,simultaneously,undermine
dial,,finalist,,rig,wanting,wanting,watercolor,budgetary
heroin,,then,,clairvaux,subsequently,subsequently,many,2011
preview,,hooley,,kartheiser,prequel,prequel,pulau,waitin
steamboats,,auto,,shelters,iv,iv,frenchtown,dy2
chartered,,inactivity,,stds,steamship,steamship,shakur,reznor
disrupts,,basile,,propagation,topolski,topolski,combining,flourished
hotspot,,kohala,,monopolised,peloponnese,peloponnese,germanus,maasai
compose,,æthelwealh,,bnsf,write,write,climber,worms
shrink,,scialfa,,protrude,girish,girish,hegemony,nematode
wrangler,,ipc,,affectionate,iupac,iupac,collaboration,distributes
cantharellus,,towers,,flexed,tower,arches,wane,expatriate
emphasised,,sakanaction,,lilies,clarified,clarified,303,1829
dunkirk,,channeling,,dougherty,surging,surging,outran,passivity
allowed,,1158,,throated,believed,required,bilge,how
hornberger,,581,,antithesis,477,477,whistler,drury
brentford,,hermann,,conan,espiritu,espiritu,cynic,favre
trousers,,establishes,,persian,flower,flower,zeke,longed
henning,,loa,,ajg,formio,formio,irlam,converted
pubic,,3b,,rcsi,peniophora,peniophora,druze,apathy
controversially,,flagstaff,,invertebrate,holtby,holtby,batted,slideshows
disappearance,,rpgs,,key,expulsion,expulsion,venice,ozawa
abaft,,marco,,purported,räikkönen,räikkönen,sputtered,canterbury
elated,,potomac,,ostracized,rhine,rhine,1770s,oslo
scabrella,,disappointment,,qualities,pressler,pressler,tak,using
781,,choirmaster,,curry,kristiansund,kristiansund,keto,specializations
opinion,,aboriginals,,1100,policy,policy,collectors,hogwarts
carefully,,yeager,,lesson,planes,planes,vijaya,teammates
ambushes,,călinescu,,bison,goulian,goulian,sawfilers,winning
anzac,,ruggiero,,ruthin,wehrmacht,wehrmacht,sarsgaard,muster
superstition,,agathosmus,,gartner,hispanica,hispanica,fenians,clut
feynman,,fourths,,gagged,jannon,jannon,lecturer,ordinarily
caterpillar,,taaramäe,,militarily,stansfield,stansfield,darkest,sentences
whitaker,,tis,,libel,francine,francine,disrepair,ain
normandy,,mohareb,,is,toulon,disembarking,sassanid,5
okinawan,,romanus,,evolving,leconfield,leconfield,aml,greedy
sprinter,,allentown,,korea,washtenaw,washtenaw,greene,refrained
augusto,,generations,,covenants,decades,decades,funnier,progressive
pre-,,sol,,183rd,oriente,oriente,molded,fisichella
mersa,,lesbians,,depict,tanjung,tanjung,209,scobie
way,,alkan,,gabon,pre,pre,ships,first
provisioned,,beet,,committeeman,perishable,perishable,prophet,consummate
usaaf,,shiloh,,road,hussar,hussar,slaughtered,$
cold,,conch,,injected,stormy,stormy,arched,ranna
jacob,,nightmarish,,corrosion,colleague,colleague,149,oldsmobile
biochemical,,709,,belloni,fluorine,fluorine,petit,pye
alga,,marker,,kromer,mats,mats,rann,issued
hue,,revolt,,scarcely,rebellion,rebellion,rhodesia,text
attends,,mackinnon,,covent,kershaw,kershaw,shikoku,peninsular
kaur,,bag,,corresponding,marguerite,marguerite,drifts,unguided
hypothetical,,tisdale,,loaded,yinglin,yinglin,phineas,handful
sign,,krasnyi,,abram,cooperate,cooperate,curses,guerrera
boulder,,invite,,testified,grasshopper,grasshopper,erick,stadio
winslow,,inquisition,,guidelines,arrondissement,arrondissement,partnered,mistrust
sonja,,crossland,,corset,abram,abram,doria,bardufoss
ahsan,,lenses,,polytheistic,vermin,vermin,socon,jbl
730,,shamanism,,chavez,940,940,opm,grabar
cang,,fjord,,feliz,disrespect,disrespect,slavonia,taj
sarcophilus,,1582,,search,stabia,stabia,insights,kartik
witchcraft,,bonn,,approximants,islamic,islamic,presidente,xiu
shaw,,glottis,,reveals,pigot,pigot,damned,elements
full,,brennan,,strut,1946,1946,52nd,parishes
vicki,,heath,,quiney,sandy,sandy,727,envy
secunda,,heights,,lambing,pcbs,pcbs,nigel,bayesian
shiban,,bottas,,nichols,1297,1297,wizarding,intervened
sperrle,,contrast,,surprising,comparison,comparison,edith,bossy
